station,lat,lon,date,groundtruth_no2,tropospheric_no2,population_density,night_light,u10,v10,wind_speed,temperature_2m_C,surface_pressure_hPa,BLH,total_cloud_cover
NSIT DWARKA,28.60909,77.0325413,2024-01-01,33.085,0.0001707105713,22871.2158203125,28.020000457763672,0.7358837127685547,-1.1138054529825847,1.3349484730924162,10.495179112752282,993.6662727864584,208.86100148561087,0.2167341793226503
NSIT DWARKA,28.60909,77.0325413,2024-01-02,20.07,0.0002256154548,22871.2158203125,28.020000457763672,0.4714139302571614,-1.1460774342219036,1.2392435510718487,9.833268102010097,993.0544124348958,169.14209433907786,0.3776017971553248
NSIT DWARKA,28.60909,77.0325413,2024-01-03,60.62416667,0.000259187453,22871.2158203125,28.020000457763672,0.6966457366943359,-0.8273086547851562,1.0815520758321435,10.355921681722007,992.756494140625,216.5456713284694,0.4706197888030056
NSIT DWARKA,28.60909,77.0325413,2024-01-04,44.69291667,,22871.2158203125,28.020000457763672,0.7531579335530599,-1.2183502912521362,1.4323492259459911,12.76092109680178,992.942236328125,253.03824574324105,0.7358772232819396
NSIT DWARKA,28.60909,77.0325413,2024-01-05,24.80833333,,22871.2158203125,28.020000457763672,0.6587188641230265,-0.8240347305933634,1.054961506016029,13.834220504760763,993.4422347005208,256.6861383588482,0.947347489630038
NSIT DWARKA,28.60909,77.0325413,2024-01-06,46.58041667,,22871.2158203125,28.020000457763672,0.1134763956069946,-0.9568983316421508,0.96360329464956,12.783902104695642,994.7213525390624,346.47233587874416,0.4191761506543614
NSIT DWARKA,28.60909,77.0325413,2024-01-07,19.5175,0.0001337157737,22871.2158203125,28.020000457763672,-0.1058305104573567,0.2051150798797607,0.2308079135076294,11.374311701456747,995.2547884114584,204.93845307282888,0.2713199144082445
NSIT DWARKA,28.60909,77.0325413,2024-01-08,22.34666667,,22871.2158203125,28.020000457763672,0.0923887888590494,-0.9297588666280112,0.9343378609369556,11.69660657246908,995.1197444661458,205.189203412701,0.1394320143023467
NSIT DWARKA,28.60909,77.0325413,2024-01-09,16.70375,,22871.2158203125,28.020000457763672,1.8042933146158853,-1.8703068097432447,2.598753918273051,11.618151601155605,995.1557080078124,294.1923645779305,0.0999314641865952
NSIT DWARKA,28.60909,77.0325413,2024-01-10,17.18458333,7.93e-05,22871.2158203125,28.020000457763672,2.694205602010092,-1.1274243195851643,2.920587170809087,10.308058039347372,993.4994889322916,231.2522035970727,0.0877835993573873
NSIT DWARKA,28.60909,77.0325413,2024-01-11,31.69833333,0.0001170958785,22871.2158203125,28.020000457763672,2.088085174560547,-1.2901269992192586,2.4544912650759296,10.327854410807332,994.16771484375,198.6735774629838,0.2478869390438206
NSIT DWARKA,28.60909,77.0325413,2024-01-12,29.54333333,0.0001776774443,22871.2158203125,28.020000457763672,1.5808982849121094,-1.0055270195007324,1.8735858598377808,11.042935307820642,993.0421354166668,196.17272265422392,0.1648817354218099
NSIT DWARKA,28.60909,77.0325413,2024-01-13,46.325,0.0002586006012,22871.2158203125,28.020000457763672,-0.0235869089762369,-0.7211840550104777,0.721569666405406,10.427861785888696,992.5944140625,115.69449115294148,0.5248536306792769
NSIT DWARKA,28.60909,77.0325413,2024-01-14,44.6825,0.0001563489476,22871.2158203125,28.020000457763672,1.3611081441243489,-1.4675661722819011,2.0015908298220646,10.254187520345056,992.7900569661458,154.8856041619392,0.2619285932220364
NSIT DWARKA,28.60909,77.0325413,2024-01-15,37.25208333,0.0001493027545,22871.2158203125,28.020000457763672,0.3740969101587931,-1.1473630269368489,1.2068100156081092,9.123234049479208,991.8496923828123,149.61001738868808,0.7158372538218359
NSIT DWARKA,28.60909,77.0325413,2024-01-16,41.38625,0.0002960200072,22871.2158203125,28.020000457763672,-1.5784905751546223,0.6170483430226644,1.6948100641307822,10.461138025919638,990.0265104166668,191.2446280831618,0.3142292521801232
NSIT DWARKA,28.60909,77.0325413,2024-01-17,43.65217391,0.0002261663758,22871.2158203125,28.020000457763672,-1.5473382472991943,1.3108271757761638,2.027935782096725,11.199345525105798,990.9012809244792,202.2068552357528,0.1830252159185924
NSIT DWARKA,28.60909,77.0325413,2024-01-18,40.06041667,0.0004255363624,22871.2158203125,28.020000457763672,-0.0095431009928385,0.7306003967920939,0.7306627201173771,12.015892918904626,992.6579638671876,189.02073992337424,0.3366451091538821
NSIT DWARKA,28.60909,77.0325413,2024-01-19,37.55041667,0.0003848136694,22871.2158203125,28.020000457763672,-0.5122721989949545,0.9182828267415364,1.0515066123194627,11.302036539713583,993.8290706380208,207.4289757819591,0.3841983615362793
NSIT DWARKA,28.60909,77.0325413,2024-01-20,35.29208333,0.00037925924,22871.2158203125,28.020000457763672,0.7851162751515707,-0.8576217095057169,1.1627220485238017,10.683873112996425,994.3794124348958,292.2554726501718,0.2920084306313288
NSIT DWARKA,28.60909,77.0325413,2024-01-21,31.02083333,,22871.2158203125,28.020000457763672,2.2424223820368447,-1.3967039187749226,2.641825122179934,10.525030390421591,993.5626839192709,225.5731338564292,0.0948145508735259
NSIT DWARKA,28.60909,77.0325413,2024-01-22,33.67458333,0.0003979452304,22871.2158203125,28.020000457763672,-0.4377681811650594,-0.2616064151128133,0.5099793102359564,10.41107775370284,994.6566227213542,206.6093551825685,0.2545247631943572
NSIT DWARKA,28.60909,77.0325413,2024-01-23,35.23166667,,22871.2158203125,28.020000457763672,-0.2645504474639892,-0.7561502854029337,0.8010931240301187,12.487773513793968,993.134755859375,181.84694111297733,0.4363419171190855
